Learning_Rate, Max_Iterations, Tolerance, Alpha, MSE, R2
optimal, 1000, 0.001, 0.01, 2.85092392486728, 0.2482804543892784
optimal, 1000, 0.01, 0.01, 2.8793533503663964, 0.24057657927147996
invscaling, 100, 0.0001, 0.01, 4.354289373678641, -0.14817246907967124
invscaling, 100, 0.001, 0.01, 4.354289373678641, -0.14817246907967124
invscaling, 100, 0.01, 0.01, 4.354289373678641, -0.14817246907967124
invscaling, 500, 0.0001, 0.01, 2.8248875526270414, 0.2553337566302286
invscaling, 500, 0.001, 0.01, 2.9863136375606194, 0.21285939744692106
invscaling, 500, 0.01, 0.01, 4.172640150114837, -0.10015273800137496
invscaling, 1000, 0.0001, 0.01, 2.8232566441814226, 0.25576659541864005
invscaling, 1000, 0.001, 0.01, 2.9863136375606194, 0.21285939744692106
invscaling, 1000, 0.01, 0.01, 4.172640150114837, -0.10015273800137496
adaptive, 100, 0.0001, 0.01, 2.8013327361911564, 0.2615261055624588
adaptive, 100, 0.001, 0.01, 2.802985489615599, 0.2610815290586298
adaptive, 100, 0.01, 0.01, 2.815986716326605, 0.2576647889511113
adaptive, 500, 0.0001, 0.01, 2.8013327361911564, 0.2615261055624588
adaptive, 500, 0.001, 0.01, 2.802985489615599, 0.2610815290586298
adaptive, 500, 0.01, 0.01, 2.815986716326605, 0.2576647889511113
adaptive, 1000, 0.0001, 0.01, 2.8013327361911564, 0.2615261055624588
adaptive, 1000, 0.001, 0.01, 2.802985489615599, 0.2610815290586298
adaptive, 1000, 0.01, 0.01, 2.815986716326605, 0.2576647889511113
constant, 100, 0.0001, 0.01, 2.800795378964371, 0.26174403929367424
constant, 100, 0.001, 0.01, 2.802341229816681, 0.2613537050921539
constant, 100, 0.01, 0.01, 2.7976520507414646, 0.26252530192964274
constant, 500, 0.0001, 0.01, 2.800795378964371, 0.26174403929367424
constant, 500, 0.001, 0.01, 2.802341229816681, 0.2613537050921539
constant, 500, 0.01, 0.01, 2.7976520507414646, 0.26252530192964274
constant, 1000, 0.0001, 0.01, 2.800795378964371, 0.26174403929367424
constant, 1000, 0.001, 0.01, 2.802341229816681, 0.2613537050921539
constant, 1000, 0.01, 0.01, 2.7976520507414646, 0.26252530192964274
optimal, 100, 0.0001, 0.01, 2.85092392486728, 0.2482804543892784
optimal, 100, 0.001, 0.01, 2.85092392486728, 0.2482804543892784
optimal, 100, 0.01, 0.01, 2.8793533503663964, 0.24057657927147996
optimal, 500, 0.0001, 0.01, 2.85092392486728, 0.2482804543892784
optimal, 500, 0.001, 0.01, 2.85092392486728, 0.2482804543892784
optimal, 500, 0.01, 0.01, 2.8793533503663964, 0.24057657927147996
optimal, 1000, 0.0001, 0.01, 2.85092392486728, 0.2482804543892784
optimal, 1000, 0.001, 0.01, 2.85092392486728, 0.2482804543892784
optimal, 1000, 0.01, 0.01, 2.8793533503663964, 0.24057657927147996
invscaling, 100, 0.0001, 0.01, 2.8014794967502565, 0.26148214498558897
invscaling, 100, 0.001, 0.01, 2.8056470043807553, 0.2603810876307322
invscaling, 100, 0.01, 0.01, 2.8309964471475593, 0.25372236721788555
invscaling, 500, 0.0001, 0.01, 2.8014794967502565, 0.26148214498558897
invscaling, 500, 0.001, 0.01, 2.8056470043807553, 0.2603810876307322
invscaling, 500, 0.01, 0.01, 2.8309964471475593, 0.25372236721788555
invscaling, 1000, 0.0001, 0.01, 2.8014794967502565, 0.26148214498558897
invscaling, 1000, 0.001, 0.01, 2.8056470043807553, 0.2603810876307322
invscaling, 1000, 0.01, 0.01, 2.8309964471475593, 0.25372236721788555
adaptive, 100, 0.0001, 0.01, 2.8011337384286, 0.2616094402865115
adaptive, 100, 0.001, 0.01, 2.801145436534564, 0.2616162448902493
adaptive, 100, 0.01, 0.01, 2.7997323985076656, 0.2619763392131748
adaptive, 500, 0.0001, 0.01, 2.8011337384286, 0.2616094402865115
adaptive, 500, 0.001, 0.01, 2.801145436534564, 0.2616162448902493
adaptive, 500, 0.01, 0.01, 2.7997323985076656, 0.2619763392131748
adaptive, 1000, 0.0001, 0.01, 2.8011337384286, 0.2616094402865115
adaptive, 1000, 0.001, 0.01, 2.801145436534564, 0.2616162448902493
adaptive, 1000, 0.01, 0.01, 2.7997323985076656, 0.2619763392131748
constant, 100, 0.0001, 0.01, 3.0905862424473893, 0.18573768172409807
constant, 100, 0.001, 0.01, 3.151375833114193, 0.17002141450147074
constant, 100, 0.01, 0.01, 3.1418827659265376, 0.17257262156477846
constant, 500, 0.0001, 0.01, 3.0905862424473893, 0.18573768172409807
constant, 500, 0.001, 0.01, 3.151375833114193, 0.17002141450147074
constant, 500, 0.01, 0.01, 3.1418827659265376, 0.17257262156477846
constant, 1000, 0.0001, 0.01, 3.0905862424473893, 0.18573768172409807
constant, 1000, 0.001, 0.01, 3.151375833114193, 0.17002141450147074
constant, 1000, 0.01, 0.01, 3.1418827659265376, 0.17257262156477846
optimal, 100, 0.0001, 0.01, 2.85092392486728, 0.2482804543892784
optimal, 100, 0.001, 0.01, 2.85092392486728, 0.2482804543892784
optimal, 100, 0.01, 0.01, 2.8793533503663964, 0.24057657927147996
optimal, 500, 0.0001, 0.01, 2.85092392486728, 0.2482804543892784
optimal, 500, 0.001, 0.01, 2.85092392486728, 0.2482804543892784
optimal, 500, 0.01, 0.01, 2.8793533503663964, 0.24057657927147996
optimal, 1000, 0.0001, 0.01, 2.85092392486728, 0.2482804543892784
optimal, 1000, 0.001, 0.01, 2.85092392486728, 0.2482804543892784
optimal, 1000, 0.01, 0.01, 2.8793533503663964, 0.24057657927147996
invscaling, 100, 0.0001, 0.01, 2.7927048572981166, 0.26376882718082906
invscaling, 100, 0.001, 0.01, 2.8001584800162727, 0.2619100906618975
invscaling, 100, 0.01, 0.01, 2.799329760480578, 0.26201078260535
invscaling, 500, 0.0001, 0.01, 2.7927048572981166, 0.26376882718082906
invscaling, 500, 0.001, 0.01, 2.8001584800162727, 0.2619100906618975
invscaling, 500, 0.01, 0.01, 2.799329760480578, 0.26201078260535
invscaling, 1000, 0.0001, 0.01, 2.7927048572981166, 0.26376882718082906
invscaling, 1000, 0.001, 0.01, 2.8001584800162727, 0.2619100906618975
invscaling, 1000, 0.01, 0.01, 2.799329760480578, 0.26201078260535
adaptive, 100, 0.0001, 0.01, 2.801032502822189, 0.2616357188990254
adaptive, 100, 0.001, 0.01, 2.800930367672414, 0.26166577178428463
adaptive, 100, 0.01, 0.01, 2.8020739321062127, 0.26135038271719424
adaptive, 500, 0.0001, 0.01, 2.801032502822189, 0.2616357188990254
adaptive, 500, 0.001, 0.01, 2.800930367672414, 0.26166577178428463
adaptive, 500, 0.01, 0.01, 2.8020739321062127, 0.26135038271719424
adaptive, 1000, 0.0001, 0.01, 2.801032502822189, 0.2616357188990254
adaptive, 1000, 0.001, 0.01, 2.800930367672414, 0.26166577178428463
adaptive, 1000, 0.01, 0.01, 2.8020739321062127, 0.26135038271719424
